Time,TrackID,LocoID,TrainID,KMH,Velocity,Enterside
20180426.184531.721,mvtrack,unknown,unknown,0.0,0,-
20180426.184532.196,mvtrack,unknown,unknown,0.0,0,-
20180426.184550.273,mvtrack,unknown,unknown,0.0,0,-
20180426.184612.606,mvtrack,unknown,unknown,0.0,0,-
20180426.184614.917,mvtrack,unknown,unknown,0.0,0,-
20180426.184616.154,mvtrack,unknown,unknown,0.0,0,-
20180426.184707.724,mvtrack,unknown,unknown,0.0,0,-
20180426.184830.261,mvtrack,unknown,unknown,4607.9,0,-
20180426.184927.912,mvtrack,unknown,unknown,602.8,0,-
20181211.204358.519,mvtrack,unknown,unknown,54.6,0,-
20181211.204408.902,mvtrack,unknown,unknown,8.3,0,-
20200912.203943.348,mvtrack,unknown,unknown,390.9,0,-
20211215.210038.391,mvtrack,unknown,unknown,44.6,0,-
20211215.215409.606,mvtrack,unknown,unknown,44.2,0,-
